Order,BondId,Date,cashFlow
1,bond1,2016-04-03,2.5
2,bond1,2016-05-03,2.5
3,bond1,2016-06-03,2.5
4,bond1,2016-07-03,102.5
1,bond2,2017-01-05,1.55
2,bond2,2017-02-05,1.55
3,bond2,2017-03-05,1.55
4,bond2,2017-04-05,1.55
5,bond2,2017-05-05,1.55
6,bond2,2017-06-05,1.55
7,bond2,2017-07-05,1.55
8,bond2,2017-08-05,1.55
9,bond2,2017-09-05,1.55
10,bond2,2017-10-05,1.55
11,bond2,2017-11-05,1.55
12,bond2,2017-12-05,101.55
1,bond3,2017-09-03,7.0
2,bond3,2017-10-03,7.0
3,bond3,2017-11-03,7.0
4,bond3,2017-12-03,7.0
5,bond3,2018-01-03,7.0
6,bond3,2018-02-03,7.0
7,bond3,2018-03-03,7.0
8,bond3,2018-04-03,7.0
9,bond3,2018-05-03,7.0
10,bond3,2018-06-03,107.0
