Date,AAPL,MSFT,YHOO,DB,GLD,BIDU,SINA,ACH
2010-01-04,27.990226,25.884104,17.1,61.39227,109.800003,41.002998,45.75,28.547325
2010-01-05,28.038618,25.892466,17.23,62.565957,109.699997,40.59,46.209999,30.543642
2010-01-06,27.592626,25.733566,17.17,61.484492,111.510002,41.25,46.0,32.040877
2010-01-07,27.541619,25.465944,16.700001,62.180321,110.82,40.463001,45.139999,31.86121
2010-01-08,27.724725,25.641571,16.700001,64.427094,111.370003,40.426998,44.91,32.31038
2010-01-11,27.480148,25.315406,16.74,64.066601,112.849998,40.056999,45.869999,33.927399
2010-01-12,27.167562,25.148142,16.68,62.121635,110.489998,38.648998,44.57,32.050861
2010-01-13,27.550775,25.382312,16.9,61.786292,111.540001,43.948002,45.119999,31.392077
2010-01-14,27.391211,25.892466,17.120001,61.450956,112.029999,46.423,45.43,31.551782
2010-01-15,26.933449,25.808835,16.82,58.458053,110.860001,46.768002,44.73,30.982832
2010-01-19,28.124939,26.009552,16.75,59.288018,111.519997,44.084,44.630001,31.432002
2010-01-20,27.692027,25.583028,16.379999,57.577781,108.940002,43.966999,43.119999,30.274139
2010-01-21,27.213337,25.097963,16.200001,54.995672,107.370003,43.997002,41.459999,28.347693
2010-01-22,25.863592,24.219826,15.88,52.094983,107.169998,41.689999,39.029999,27.299628
2010-01-25,26.559391,24.520902,15.86,53.55371,107.480003,41.515999,39.290001,27.469315
2010-01-26,26.934757,24.671439,15.99,51.801562,107.559998,41.938,38.709999,26.071893
2010-01-27,27.188489,24.813614,15.98,52.489009,106.529999,42.436001,37.889999,25.433071
2010-01-28,26.065007,24.387091,15.44,51.550058,106.480003,41.785,37.360001,25.223459
2010-01-29,25.119401,23.567497,15.01,51.114118,105.959999,41.171001,36.16,24.764305
2010-02-01,25.468608,23.759851,15.05,53.19322,108.349998,42.568001,36.459999,25.762463
2010-02-02,25.6164,23.801666,15.17,54.828,109.129997,42.618,37.84,26.111819
2010-02-03,26.057159,23.94384,15.46,53.721381,108.699997,44.978001,37.360001,25.662647
2010-02-04,25.118093,23.283148,15.01,49.965578,104.370003,44.085999,35.93,23.985743
2010-02-05,25.564084,23.433686,15.19,49.915278,104.68,44.880001,36.049999,23.826037
2010-02-08,25.388826,23.182789,14.99,48.540387,104.040001,44.323002,35.849998,22.77797
2010-02-09,25.659561,23.425323,15.07,52.162051,105.410004,43.500999,36.09,23.895908
2010-02-10,25.519617,23.408596,14.8,52.597994,105.120003,48.213001,36.009998,23.696276
2010-02-11,25.983917,23.517319,15.22,51.809947,107.129997,48.745998,36.98,24.554693
2010-02-12,26.207567,23.358417,15.17,50.778778,107.040001,48.799999,36.060001,23.646369
2010-02-16,26.602551,23.820544,15.41,53.469877,109.620003,48.946999,37.43,24.524747
2010-02-17,26.491381,24.022199,15.44,53.184838,109.25,48.751999,38.029999,24.315135
2010-02-18,26.54108,24.341486,15.54,54.308225,109.980003,49.759998,38.049999,24.065595
2010-02-19,26.376286,24.173441,15.58,54.433978,109.470001,50.014999,37.799999,23.486664
2010-02-22,26.212799,24.139831,15.49,54.408828,109.07,50.715,37.860001,23.65635
2010-02-23,25.773347,23.803739,15.38,51.985998,107.889999,50.169998,36.959999,23.4667
2010-02-24,26.244189,24.055808,15.59,52.883031,107.360001,50.547001,36.919998,24.03565
2010-02-25,26.419447,24.030602,15.24,52.530926,108.309998,50.887001,37.209999,23.925852
2010-02-26,26.762114,24.089418,15.31,53.235138,109.43,51.868,37.82,24.055613
2010-03-01,27.333665,24.383499,15.79,53.914199,109.43,52.291,37.369999,25.103679
2010-03-02,27.315354,23.912968,15.73,54.358525,111.019997,51.888,38.130001,25.163568
